Lovefool,The Cardigans,Pop,33,1996
Don't Let Go (Love),En Vogue,R&B/Soul,40,1996
Killing Me Softly With His Song,Fugees,Hip-Hop/Rap,17,1996
My Boo (Hitman's Club Mix),Ghost Town DJs,Pop,23,1996
Ooh Aah...Just a Little Bit (Motiv8 Radio Edit),Gina G.,Pop,12,1996
Pony,Ginuwine,R&B/Soul,14,1996
Cosmic Girl,Jamiroquai,Pop,6,1996
Return of the Mack,Mark Morrison,Pop,50,1996
Ameyatchi,Mathey,African,17,1996
Still In Love,New Edition,R&B/Soul,,1996
Where Do You Go,No Mercy,Rock,3,1996
All I Want,The Offspring,Rock,16,1996
Way Down the Line,The Offspring,Rock,12,1996
Space Jam,Quad City DJ's,Hip-Hop/Rap,104,1996
Wannabe (Radio Edit),Spice Girls,Pop,12,1996
Santeria,Sublime,Alternative,12,1996
Brain Crack,Tracy Bonham,Rock,1,1996
Barbie Girl,Aqua,Pop,31,1997
Barbie Girl,Aqua,Pop,16,1997
Everybody (Backstreet's Back) [Extended Version],Backstreet Boys,Pop,9,1997
Twilight Zone,Beat Bliss,Dance,49,1997
Samba de Janeiro (Club Mix),Bellini,Dance,26,1997
"My Heart Will Go On (Love Theme from ""Titanic"")",Céline Dion,Pop,,1997
Tubthumping,Chumbawamba,Rock,11,1997
I'll Be,Edwin McCain,Pop,17,1997
Carrying Your Love With Me,George Strait,Country,21,1997
Together Again,Janet Jackson,Pop,43,1997
Breakdown (feat. Krayzie Bone & Wish Bone),Mariah Carey,R&B/Soul,31,1997
Honey,Mariah Carey,R&B/Soul,95,1997
Angel of Mine (Radio Mix),Monica,R&B/Soul,11,1997
Mo Money Mo Problems (feat. Mase & Puff Daddy),The Notorious B.I.G.,Hip-Hop/Rap,118,1997
Mo Money Mo Problems (feat. Puff Daddy & Mase) [Radio Mix],The Notorious B.I.G.,Hip-Hop/Rap,8,1997
Tearin' Up My Heart (Radio Edit),*NSYNC,Pop,46,1997
I Gotta Believe!,Parappa the Rapper ft. Mc King Kong Mushi [Live Rap],PS2,,1997
I'll Be Missing You (feat. Faith Evans & 112) [2014 Remaster],Puff Daddy,Hip-Hop/Rap,12,1997
R U Ready (feat. Rufus Moore),Salt-N-Pepa,R&B/Soul,4,1997
Shakira DJ Memegamix,Shakira,Latin,47,1997
Man! I Feel Like a Woman!,Shania Twain,Country,13,1997
You're Still the One,Shania Twain,Country,62,1997
Kiss Me,Sixpence None the Richer,Christian Rock,6,1997
Ocean Man,Ween,Pop,24,1997
Your Woman,White Town,Electronic,3,1997
